age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed
42,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes
44,Male,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,Yes
27,Female,"Less than $25,000",British Columbia,High school diploma,No,Single,English only,Yes
24,Female,"Less than $25,000",New Brunswick,High school diploma,Yes,Has a partner,English only,Yes
41,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,English only,Yes
26,Female,"$125,000 and more",Quebec,Bachelor's degree,No,Single,Both English and French,Yes
32,Female,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
58,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
15,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Single,English only,Yes
16,Female,"$75,000 to $99,999",Quebec,Less than high school,Yes,Single,French only,Yes
42,Male,"$75,000 to $99,999",British Columbia,Bachelor's degree,Yes,Single,Both English and French,No
25,Female,"Less than $25,000",Manitoba,Less than high school,Yes,Has a partner,English only,Yes
54,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,No,Single,English only,Yes
17,Male,"$100,000 to $ 124,999",Quebec,Less than high school,Yes,Single,Both English and French,Yes
64,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Single,English only,Yes
58,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
75,Female,"Less than $25,000",Newfoundland and Labrador,Less than high school,Yes,Single,English only,No
41,Male,"$100,000 to $ 124,999",Nova Scotia,High school diploma,Yes,Has a partner,English only,Yes
60,Male,"Less than $25,000",Newfoundland and Labrador,Less than high school,Yes,Single,English only,No
80,Female,"$25,000 to $49,999",Ontario,Above bachelor,No,Single,English only,No
53,Male,"$75,000 to $99,999",Newfoundland and Labrador,Bachelor's degree,Yes,Has a partner,English only,Yes
35,Male,"Less than $25,000",Ontario,Bachelor's degree,No,Single,English only,Yes
80,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No
73,Female,"Less than $25,000",Manitoba,College or certificate,Yes,Has a partner,English only,No
80,Male,"$50,000 to $74,999",British Columbia,Bachelor's degree,Yes,Has a partner,English only,No
72,Female,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,No
56,Female,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Single,Both English and French,Yes
65,Female,"$100,000 to $ 124,999",Ontario,College or certificate,No,Single,English only,No
30,Male,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Single,Both English and French,Yes
71,Male,"$50,000 to $74,999",Alberta,College or certificate,Yes,Has a partner,English only,No
33,Female,"$100,000 to $ 124,999",Prince Edward Island,High school diploma,Yes,Has a partner,English only,Yes
25,Male,"$25,000 to $49,999",Quebec,College or certificate,No,Has a partner,Both English and French,Yes
63,Male,"$25,000 to $49,999",British Columbia,Above bachelor,Yes,Has a partner,Both English and French,Yes
79,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Single,French only,No
57,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
56,Male,"$125,000 and more",Ontario,Above bachelor,No,Has a partner,English only,Yes
24,Female,"Less than $25,000",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
48,Male,"$75,000 to $99,999",Nova Scotia,Bachelor's degree,No,Has a partner,Both English and French,Yes
41,Female,"$125,000 and more",Ontario,Above bachelor,No,Has a partner,Both English and French,Yes
64,Female,"$25,000 to $49,999",Nova Scotia,High school diploma,Yes,Single,English only,No
80,Female,"Less than $25,000",Alberta,Less than high school,No,Single,English only,No
29,Female,"$75,000 to $99,999",British Columbia,College or certificate,No,Has a partner,English only,Yes
79,Male,"$75,000 to $99,999",Newfoundland and Labrador,Less than high school,Yes,Has a partner,English only,No
59,Male,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes
47,Male,"$75,000 to $99,999",Saskatchewan,College or certificate,Yes,Has a partner,English only,Yes
36,Female,"$25,000 to $49,999",Alberta,High school diploma,No,Single,English only,Yes
22,Male,"$25,000 to $49,999",Alberta,Bachelor's degree,No,Single,English only,Yes
54,Female,"$75,000 to $99,999",Saskatchewan,High school diploma,Yes,Has a partner,English only,Yes
51,Female,"$100,000 to $ 124,999",Nova Scotia,Bachelor's degree,Yes,Has a partner,English only,Yes
45,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
72,Female,"$25,000 to $49,999",Ontario,Above bachelor,Yes,Single,English only,No
73,Female,"$25,000 to $49,999",New Brunswick,Less than high school,Yes,Has a partner,French only,No
